annotator_id,filename
k3,PAT_1918_3836_82.png
k3,PAT_2108_4596_837.png
k3,PAT_1469_1627_109.png
k3,PAT_2081_4488_57.png
k3,PAT_1777_3370_697.png
k3,PAT_1545_1865_519.png
k3,PAT_2024_4225_170.png
k3,PAT_2161_4818_501.png
k3,PAT_1414_1433_806.png
k3,PAT_1390_1346_709.png
k3,PAT_1550_1888_216.png
k3,PAT_1453_1566_310.png
k3,PAT_1946_3924_24.png
k3,PAT_2116_4614_671.png
k3,PAT_1587_2625_226.png
k3,PAT_1937_3897_131.png
k3,PAT_1840_3612_959.png
k3,PAT_1450_1556_114.png
k3,PAT_1790_3427_723.png
k3,PAT_1433_1499_29.png
k3,PAT_1931_3879_727.png
k3,PAT_2085_4506_726.png
k3,PAT_1528_1795_12.png
k3,PAT_1998_4095_438.png
k3,PAT_1861_3648_959.png
k3,PAT_1698_3122_83.png
k3,PAT_2017_4164_500.png
k3,PAT_1689_3077_411.png
k4,PAT_355_732_625.png
k4,PAT_359_1596_68.png
k4,PAT_442_863_795.png
k4,PAT_637_1217_274.png
k4,PAT_598_1137_888.png
k4,PAT_678_1287_652.png
k4,PAT_387_786_213.png
k4,PAT_645_4042_489.png
k4,PAT_679_1286_933.png
k4,PAT_523_988_900.png
k4,PAT_338_707_774.png
k4,PAT_532_1007_854.png
k4,PAT_447_873_329.png
k4,PAT_482_924_134.png
k4,PAT_472_910_453.png
k4,PAT_621_3592_955.png
k4,PAT_550_1045_81.png
k4,PAT_457_889_346.png
k4,PAT_615_1167_722.png
k4,PAT_388_1590_328.png
k4,PAT_611_1158_156.png
k4,PAT_667_1264_8.png
k4,PAT_430_848_550.png
k4,PAT_471_909_353.png
k4,PAT_691_1311_890.png
k4,PAT_357_737_77.png
k4,PAT_451_878_890.png
k4,PAT_473_911_630.png
k4,PAT_363_746_18.png
k4,PAT_530_999_696.png
k5,PAT_1184_676_303.png
k5,PAT_1153_555_98.png
k5,PAT_1229_794_274.png
k5,PAT_1269_936_965.png
k5,PAT_896_1705_582.png
k5,PAT_1364_1246_583.png
k5,PAT_1243_837_806.png
k5,PAT_906_1723_560.png
k5,PAT_1179_641_735.png
k5,PAT_1118_470_710.png
k5,PAT_897_1710_793.png
k5,PAT_1176_631_36.png
k5,PAT_935_1783_687.png
k5,PAT_894_1680_410.png
k5,PAT_1284_995_150.png
k5,PAT_931_1761_380.png
k5,PAT_1340_1207_304.png
k5,PAT_1286_999_846.png
k5,PAT_983_1853_985.png
k5,PAT_940_1775_513.png
k5,PAT_1373_1283_85.png
k2,PAT_738_1397_195.png
k2,PAT_864_1646_822.png
k2,PAT_691_3994_791.png
k2,PAT_824_1560_801.png
k2,PAT_880_1675_704.png
k2,PAT_887_1688_436.png
k2,PAT_747_1410_622.png
k2,PAT_891_1700_180.png
k2,PAT_815_1535_536.png
k2,PAT_701_1321_156.png
k2,PAT_861_1639_823.png
k2,PAT_823_1558_870.png
k2,PAT_827_1601_859.png
k2,PAT_822_1551_642.png
k2,PAT_893_1697_613.png
k2,PAT_874_1672_287.png
k2,PAT_805_1517_647.png
k2,PAT_876_1666_961.png
k2,PAT_834_1574_397.png
k1,PAT_89_135_11.png
k1,PAT_119_181_684.png
k1,PAT_108_161_878.png
k1,PAT_202_917_942.png
k1,PAT_160_248_254.png
k1,PAT_70_107_591.png
k1,PAT_122_869_60.png
k1,PAT_263_403_966.png
k1,PAT_197_301_198.png
k1,PAT_236_1071_810.png
k1,PAT_330_695_296.png
k1,PAT_143_213_489.png
k1,PAT_316_1457_353.png
k1,PAT_306_1646_971.png
k1,PAT_262_402_14.png
k1,PAT_281_1517_293.png
k1,PAT_46_880_308.png
k1,PAT_191_294_419.png
k1,PAT_99_153_636.png
k1,PAT_86_1082_220.png
k1,PAT_211_317_649.png
k1,PAT_252_383_389.png
k5,PAT_1414_1433_806
k5,PAT_1390_1346_709
k5,PAT_1453_1566_310
k5,PAT_1450_1556_114
k5,PAT_1433_1499_29
k1,PAT_355_732_625
k1,PAT_359_1596_68
k2,PAT_678_1287_652
k2,PAT_645_4042_489
k2,PAT_679_1286_933
k1,PAT_338_707_774
k2,PAT_667_1264_8
k2,PAT_691_1311_890
k1,PAT_357_737_77
k1,PAT_363_746_18
k2,PAT_896_1705_582
k2,PAT_906_1723_560
k2,PAT_897_1710_793
k2,PAT_894_1680_410
k2,PAT_931_1761_380
